column,selected,seen,scheme_name,label_key,value,concept_uri,pref_label,broader_uri,depth,n_children,is_leaf
k_health-outcomes_sub_b_sub_f|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_f,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000418,Idiopathic epilepsy,https://vocab.destiny-evidence.org/health-outcomes/DSNY000415,3,0,True
k_health-outcomes_sub_b_sub_f|3,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_f,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000420,Motor neuron disease,https://vocab.destiny-evidence.org/health-outcomes/DSNY000415,3,0,True
k_health-outcomes_sub_b_sub_f|4,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_f,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000419,Multiple sclerosis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000415,3,0,True
k_health-outcomes_sub_b_sub_f|5,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_f,5,https://vocab.destiny-evidence.org/health-outcomes/DSNY000417,Parkinson's disease,https://vocab.destiny-evidence.org/health-outcomes/DSNY000415,3,0,True
k_health-outcomes_sub_b_sub_f|6,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_f,6,https://vocab.destiny-evidence.org/health-outcomes/DSNY000422,Z_Other neurological disorders,https://vocab.destiny-evidence.org/health-outcomes/DSNY000415,3,0,True
k_health-outcomes_sub_b_sub_g|0,0,1,Health - Outcomes,k_health-outcomes_sub_b_sub_g,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000459,Age-related and other hearing loss,https://vocab.destiny-evidence.org/health-outcomes/DSNY000457,3,0,True
k_health-outcomes_sub_b_sub_g|1,0,1,Health - Outcomes,k_health-outcomes_sub_b_sub_g,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000458,Blindness and vision loss,https://vocab.destiny-evidence.org/health-outcomes/DSNY000457,3,0,True
k_health-outcomes_sub_b_sub_h|0,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,0,https://vocab.destiny-evidence.org/health-outcomes/DSNY000451,Acne vulgaris,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|1,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,1,https://vocab.destiny-evidence.org/health-outcomes/DSNY000452,Alopecia areata,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|2,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,2,https://vocab.destiny-evidence.org/health-outcomes/DSNY000447,Bacterial skin diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|3,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,3,https://vocab.destiny-evidence.org/health-outcomes/DSNY000455,Decubitus ulcer,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|4,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,4,https://vocab.destiny-evidence.org/health-outcomes/DSNY000445,Dermatitis,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
k_health-outcomes_sub_b_sub_h|5,0,0,Health - Outcomes,k_health-outcomes_sub_b_sub_h,5,https://vocab.destiny-evidence.org/health-outcomes/DSNY000449,Fungal skin diseases,https://vocab.destiny-evidence.org/health-outcomes/DSNY000444,3,0,True
